Vardas                Pavarde               ND1       ND2       ND3       ND4        Egzaminas
Vardenis1228          Pavardenis1228        3         3         9         4         7          
Vardenis1229          Pavardenis1229        2         6         5         8         4          
Vardenis1230          Pavardenis1230        7         3         6         8         10         
Vardenis1231          Pavardenis1231        8         2         5         1         3          
Vardenis1232          Pavardenis1232        5         1         5         8         9          
Vardenis1233          Pavardenis1233        5         2         2         2         5          
Vardenis1234          Pavardenis1234        2         10        4         1         5          
Vardenis1235          Pavardenis1235        2         1         3         7         1          
Vardenis1236          Pavardenis1236        7         3         5         10        10         
Vardenis1237          Pavardenis1237        8         2         9         4         3          
Vardenis1238          Pavardenis1238        8         9         4         10        5          
Vardenis1239          Pavardenis1239        6         8         3         2         6          
Vardenis1240          Pavardenis1240        5         1         4         5         2          
Vardenis1241          Pavardenis1241        6         5         6         7         9          
Vardenis1242          Pavardenis1242        10        3         3         4         3          
Vardenis1243          Pavardenis1243        9         4         7         1         6          
Vardenis1244          Pavardenis1244        7         8         2         1         8          
Vardenis1245          Pavardenis1245        9         9         4         6         3          
Vardenis1246          Pavardenis1246        6         7         10        9         4          
Vardenis1247          Pavardenis1247        10        2         3         5         3          
Vardenis1248          Pavardenis1248        8         3         4         8         8          
Vardenis1249          Pavardenis1249        2         1         6         2         5          
Vardenis1250          Pavardenis1250        5         1         9         1         6          
Vardenis1251          Pavardenis1251        10        6         4         4         7          
Vardenis1252          Pavardenis1252        5         1         7         10        8          
Vardenis1253          Pavardenis1253        4         3         4         4         9          
Vardenis1254          Pavardenis1254        7         8         9         9         10         
Vardenis1255          Pavardenis1255        10        3         1         9         7          
Vardenis1256          Pavardenis1256        7         4         6         4         10         
Vardenis1257          Pavardenis1257        4         9         5         8         7          
Vardenis1258          Pavardenis1258        3         6         10        2         6          
Vardenis1259          Pavardenis1259        3         3         3         9         3          
Vardenis1260          Pavardenis1260        2         2         3         2         9          
Vardenis1261          Pavardenis1261        5         4         4         10        4          
Vardenis1262          Pavardenis1262        8         4         3         1         9          
Vardenis1263          Pavardenis1263        10        4         2         4         8          
Vardenis1264          Pavardenis1264        3         6         5         10        10         
Vardenis1265          Pavardenis1265        8         9         7         6         8          
Vardenis1266          Pavardenis1266        3         6         3         1         2          
Vardenis1267          Pavardenis1267        7         7         9         8         9          
Vardenis1268          Pavardenis1268        1         6         10        2         5          
Vardenis1269          Pavardenis1269        4         5         9         1         2          
Vardenis1270          Pavardenis1270        1         5         3         3         9          
Vardenis1271          Pavardenis1271        2         10        3         5         6          
Vardenis1272          Pavardenis1272        7         10        5         2         3          
Vardenis1273          Pavardenis1273        10        4         5         8         5          
Vardenis1274          Pavardenis1274        1         1         7         6         6          
Vardenis1275          Pavardenis1275        3         4         9         8         10         
Vardenis1276          Pavardenis1276        5         8         8         1         10         
Vardenis1277          Pavardenis1277        9         3         4         5         5          
Vardenis1278          Pavardenis1278        2         9         7         9         5          
Vardenis1279          Pavardenis1279        10        1         6         8         4          
Vardenis1280          Pavardenis1280        2         2         8         10        6          
Vardenis1281          Pavardenis1281        9         2         3         7         8          
Vardenis1282          Pavardenis1282        9         10        5         4         2          
Vardenis1283          Pavardenis1283        1         3         1         1         10         
Vardenis1284          Pavardenis1284        10        10        1         10        5          
Vardenis1285          Pavardenis1285        9         8         7         2         2          
Vardenis1286          Pavardenis1286        3         5         3         4         8          
Vardenis1287          Pavardenis1287        2         9         2         5         7          
Vardenis1288          Pavardenis1288        3         10        6         5         10         
Vardenis1289          Pavardenis1289        7         7         5         10        5          
Vardenis1290          Pavardenis1290        2         6         10        1         10         
Vardenis1291          Pavardenis1291        9         8         7         9         5          
Vardenis1292          Pavardenis1292        9         7         10        8         1          
Vardenis1293          Pavardenis1293        1         6         10        6         1          
Vardenis1294          Pavardenis1294        2         6         7         3         5          
Vardenis1295          Pavardenis1295        6         7         4         8         8          
Vardenis1296          Pavardenis1296        8         4         4         6         1          
Vardenis1297          Pavardenis1297        5         10        1         2         3          
Vardenis1298          Pavardenis1298        3         7         5         5         6          
Vardenis1299          Pavardenis1299        5         1         4         2         4          
Vardenis1300          Pavardenis1300        7         6         2         2         3          
Vardenis1301          Pavardenis1301        3         1         6         1         1          
Vardenis1302          Pavardenis1302        7         10        3         4         4          
Vardenis1303          Pavardenis1303        5         6         4         5         8          
Vardenis1304          Pavardenis1304        9         3         6         3         7          
Vardenis1305          Pavardenis1305        5         3         10        10        2          
Vardenis1306          Pavardenis1306        1         7         3         2         10         
Vardenis1307          Pavardenis1307        1         7         9         5         1          
Vardenis1308          Pavardenis1308        7         7         5         2         6          
Vardenis1309          Pavardenis1309        6         6         5         3         7          
Vardenis1310          Pavardenis1310        9         1         8         10        2          
Vardenis1311          Pavardenis1311        3         5         5         3         10         
Vardenis1312          Pavardenis1312        6         6         8         5         3          
Vardenis1313          Pavardenis1313        5         9         10        3         3          
Vardenis1314          Pavardenis1314        1         9         3         6         9          
Vardenis1315          Pavardenis1315        1         8         5         2         10         
Vardenis1316          Pavardenis1316        3         7         10        4         7          
Vardenis1317          Pavardenis1317        3         2         10        6         7          
Vardenis1318          Pavardenis1318        6         1         3         4         10         
Vardenis1319          Pavardenis1319        10        9         7         2         4          
Vardenis1320          Pavardenis1320        5         4         10        10        9          
Vardenis1321          Pavardenis1321        10        10        8         9         7          
Vardenis1322          Pavardenis1322        10        8         7         3         4          
Vardenis1323          Pavardenis1323        4         2         9         1         5          
Vardenis1324          Pavardenis1324        2         2         4         6         2          
Vardenis1325          Pavardenis1325        7         3         1         4         5          
Vardenis1326          Pavardenis1326        3         6         9         9         7          
Vardenis1327          Pavardenis1327        3         9         7         5         7          
Vardenis1328          Pavardenis1328        3         1         3         1         7          
Vardenis1329          Pavardenis1329        7         2         2         1         1          
Vardenis1330          Pavardenis1330        3         2         4         1         6          
Vardenis1331          Pavardenis1331        8         9         9         9         3          
Vardenis1332          Pavardenis1332        10        9         2         7         4          
Vardenis1333          Pavardenis1333        9         3         5         6         10         
Vardenis1334          Pavardenis1334        8         4         5         4         3          
Vardenis1335          Pavardenis1335        1         1         2         6         1          
Vardenis1336          Pavardenis1336        2         1         4         8         10         
Vardenis1337          Pavardenis1337        3         5         10        7         8          
Vardenis1338          Pavardenis1338        4         8         8         1         8          
Vardenis1339          Pavardenis1339        9         5         10        4         4          
Vardenis1340          Pavardenis1340        2         1         2         3         2          
Vardenis1341          Pavardenis1341        6         10        5         7         1          
Vardenis1342          Pavardenis1342        4         6         7         5         5          
Vardenis1343          Pavardenis1343        8         3         6         8         8          
Vardenis1344          Pavardenis1344        6         6         4         2         8          
Vardenis1345          Pavardenis1345        3         9         1         1         1          
Vardenis1346          Pavardenis1346        9         1         3         6         10         
Vardenis1347          Pavardenis1347        3         10        4         10        10         
Vardenis1348          Pavardenis1348        7         7         7         8         6          
Vardenis1349          Pavardenis1349        6         9         10        10        3          
Vardenis1350          Pavardenis1350        1         9         6         10        8          
Vardenis1351          Pavardenis1351        3         1         7         4         2          
Vardenis1352          Pavardenis1352        8         8         6         5         6          
Vardenis1353          Pavardenis1353        6         9         4         8         9          
Vardenis1354          Pavardenis1354        5         1         6         8         7          
Vardenis1355          Pavardenis1355        1         9         2         7         3          
Vardenis1356          Pavardenis1356        8         6         4         5         8          
Vardenis1357          Pavardenis1357        3         10        5         3         10         
Vardenis1358          Pavardenis1358        6         5         5         1         9          
Vardenis1359          Pavardenis1359        1         7         10        7         1          
Vardenis1360          Pavardenis1360        4         8         5         7         9          
Vardenis1361          Pavardenis1361        9         8         4         2         4          
Vardenis1362          Pavardenis1362        9         4         4         4         7          
Vardenis1363          Pavardenis1363        9         5         4         10        3          
Vardenis1364          Pavardenis1364        10        2         1         5         8          
Vardenis1365          Pavardenis1365        5         4         10        2         8          
Vardenis1366          Pavardenis1366        5         1         9         9         5          
Vardenis1367          Pavardenis1367        6         6         4         10        10         
Vardenis1368          Pavardenis1368        10        7         4         3         9          
Vardenis1369          Pavardenis1369        9         10        5         3         4          
Vardenis1370          Pavardenis1370        5         6         1         7         7          
Vardenis1371          Pavardenis1371        5         3         7         1         3          
Vardenis1372          Pavardenis1372        10        1         5         3         10         
Vardenis1373          Pavardenis1373        6         3         4         1         7          
Vardenis1374          Pavardenis1374        9         9         7         1         8          
Vardenis1375          Pavardenis1375        4         1         2         4         1          
Vardenis1376          Pavardenis1376        1         8         5         2         5          
Vardenis1377          Pavardenis1377        2         10        2         8         3          
Vardenis1378          Pavardenis1378        7         3         2         5         2          
Vardenis1379          Pavardenis1379        3         7         9         4         5          
Vardenis1380          Pavardenis1380        2         4         1         1         6          
Vardenis1381          Pavardenis1381        3         2         5         7         8          
Vardenis1382          Pavardenis1382        3         6         9         2         9          
Vardenis1383          Pavardenis1383        1         9         7         4         2          
Vardenis1384          Pavardenis1384        4         7         6         5         9          
Vardenis1385          Pavardenis1385        10        6         9         3         2          
Vardenis1386          Pavardenis1386        1         8         6         9         1          
Vardenis1387          Pavardenis1387        8         4         2         2         5          
Vardenis1388          Pavardenis1388        3         4         6         5         8          
Vardenis1389          Pavardenis1389        2         5         10        3         3          
Vardenis1390          Pavardenis1390        2         3         2         1         3          
Vardenis1391          Pavardenis1391        6         4         1         2         9          
Vardenis1392          Pavardenis1392        8         1         9         6         9          
Vardenis1393          Pavardenis1393        7         7         10        1         5          
Vardenis1394          Pavardenis1394        1         10        5         3         6          
Vardenis1395          Pavardenis1395        10        2         7         3         5          
Vardenis1396          Pavardenis1396        8         9         8         3         9          
Vardenis1397          Pavardenis1397        6         4         6         7         10         
Vardenis1398          Pavardenis1398        8         3         1         1         2          
Vardenis1399          Pavardenis1399        9         1         6         7         7          
Vardenis1400          Pavardenis1400        6         4         4         7         8          
Vardenis1401          Pavardenis1401        3         6         7         4         2          
Vardenis1402          Pavardenis1402        8         5         9         7         9          
Vardenis1403          Pavardenis1403        4         8         9         8         7          
Vardenis1404          Pavardenis1404        5         3         5         7         7          
Vardenis1405          Pavardenis1405        3         3         10        2         1          
Vardenis1406          Pavardenis1406        4         10        4         10        10         
Vardenis1407          Pavardenis1407        8         4         10        8         1          
Vardenis1408          Pavardenis1408        6         9         2         9         1          
Vardenis1409          Pavardenis1409        10        7         2         2         5          
Vardenis1410          Pavardenis1410        5         5         8         7         2          
Vardenis1411          Pavardenis1411        3         8         4         1         10         
Vardenis1412          Pavardenis1412        4         10        1         7         4          
Vardenis1413          Pavardenis1413        7         9         9         6         7          
Vardenis1414          Pavardenis1414        3         10        1         8         2          
Vardenis1415          Pavardenis1415        10        9         7         2         6          
Vardenis1416          Pavardenis1416        6         2         7         10        8          
Vardenis1417          Pavardenis1417        10        9         10        4         6          
Vardenis1418          Pavardenis1418        4         4         9         7         6          
Vardenis1419          Pavardenis1419        6         8         3         9         7          
Vardenis1420          Pavardenis1420        10        1         10        2         4          
Vardenis1421          Pavardenis1421        5         2         3         3         2          
Vardenis1422          Pavardenis1422        1         3         3         8         1          
Vardenis1423          Pavardenis1423        8         5         8         4         1          
Vardenis1424          Pavardenis1424        8         6         10        9         8          
Vardenis1425          Pavardenis1425        6         3         4         10        3          
Vardenis1426          Pavardenis1426        8         8         10        3         1          
Vardenis1427          Pavardenis1427        7         8         8         8         6          
Vardenis1428          Pavardenis1428        9         4         7         8         2          
Vardenis1429          Pavardenis1429        2         5         8         10        6          
Vardenis1430          Pavardenis1430        7         3         9         1         4          
Vardenis1431          Pavardenis1431        10        7         8         3         1          
Vardenis1432          Pavardenis1432        2         2         1         6         6          
Vardenis1433          Pavardenis1433        1         10        2         5         4          
Vardenis1434          Pavardenis1434        4         10        3         8         4          
Vardenis1435          Pavardenis1435        10        7         6         9         7          
Vardenis1436          Pavardenis1436        10        8         3         4         2          
Vardenis1437          Pavardenis1437        10        6         5         7         10         
Vardenis1438          Pavardenis1438        6         4         3         9         5          
Vardenis1439          Pavardenis1439        10        1         3         9         9          
Vardenis1440          Pavardenis1440        3         3         4         8         3          
Vardenis1441          Pavardenis1441        8         4         5         9         6          
Vardenis1442          Pavardenis1442        7         8         10        9         6          
Vardenis1443          Pavardenis1443        10        9         1         6         4          
Vardenis1444          Pavardenis1444        8         6         4         10        10         
Vardenis1445          Pavardenis1445        4         9         2         1         4          
Vardenis1446          Pavardenis1446        5         10        9         9         9          
Vardenis1447          Pavardenis1447        5         3         7         6         4          
Vardenis1448          Pavardenis1448        2         9         3         5         6          
Vardenis1449          Pavardenis1449        2         6         1         5         4          
Vardenis1450          Pavardenis1450        3         1         4         6         5          
Vardenis1451          Pavardenis1451        1         3         7         2         10         
Vardenis1452          Pavardenis1452        7         1         9         5         3          
Vardenis1453          Pavardenis1453        7         9         8         6         5          
Vardenis1454          Pavardenis1454        2         4         5         4         6          
Vardenis1455          Pavardenis1455        2         9         4         3         9          
Vardenis1456          Pavardenis1456        8         8         9         3         4          
Vardenis1457          Pavardenis1457        5         9         6         4         6          
Vardenis1458          Pavardenis1458        2         10        6         7         2          
Vardenis1459          Pavardenis1459        1         1         4         5         4          
Vardenis1460          Pavardenis1460        1         5         7         8         1          
Vardenis1461          Pavardenis1461        3         2         10        7         6          
Vardenis1462          Pavardenis1462        1         10        10        1         4          
Vardenis1463          Pavardenis1463        9         2         2         9         9          
Vardenis1464          Pavardenis1464        3         3         4         1         3          
Vardenis1465          Pavardenis1465        6         6         10        10        6          
Vardenis1466          Pavardenis1466        10        4         7         10        6          
Vardenis1467          Pavardenis1467        8         7         5         4         3          
Vardenis1468          Pavardenis1468        8         7         5         7         10         
Vardenis1469          Pavardenis1469        7         10        9         5         9          
Vardenis1470          Pavardenis1470        10        4         4         3         6          
Vardenis1471          Pavardenis1471        1         2         1         1         6          
Vardenis1472          Pavardenis1472        1         8         8         10        9          
Vardenis1473          Pavardenis1473        2         3         10        7         4          
Vardenis1474          Pavardenis1474        9         6         6         5         1          
Vardenis1475          Pavardenis1475        4         4         5         5         5          
Vardenis1476          Pavardenis1476        5         3         6         6         6          
Vardenis1477          Pavardenis1477        9         4         1         6         3          
Vardenis1478          Pavardenis1478        1         9         8         2         5          
Vardenis1479          Pavardenis1479        6         6         9         8         6          
Vardenis1480          Pavardenis1480        10        2         8         9         7          
Vardenis1481          Pavardenis1481        4         2         3         6         1          
Vardenis1482          Pavardenis1482        8         5         10        6         2          
Vardenis1483          Pavardenis1483        1         2         4         4         5          
Vardenis1484          Pavardenis1484        4         4         8         7         6          
Vardenis1485          Pavardenis1485        3         8         2         5         7          
Vardenis1486          Pavardenis1486        10        4         5         3         9          
Vardenis1487          Pavardenis1487        5         9         1         6         2          
Vardenis1488          Pavardenis1488        4         8         9         8         4          
Vardenis1489          Pavardenis1489        8         1         9         2         2          
Vardenis1490          Pavardenis1490        7         6         8         4         3          
Vardenis1491          Pavardenis1491        5         1         9         6         10         
Vardenis1492          Pavardenis1492        2         10        6         4         5          
Vardenis1493          Pavardenis1493        9         6         10        9         3          
Vardenis1494          Pavardenis1494        10        9         9         3         2          
Vardenis1495          Pavardenis1495        7         6         3         8         1          
Vardenis1496          Pavardenis1496        4         2         10        4         7          
Vardenis1497          Pavardenis1497        4         1         3         4         10         
Vardenis1498          Pavardenis1498        1         1         9         6         3          
Vardenis1499          Pavardenis1499        9         1         7         8         8          
Vardenis1500          Pavardenis1500        4         5         4         7         1          
Vardenis1501          Pavardenis1501        4         3         5         9         2          
Vardenis1502          Pavardenis1502        3         10        6         8         8          
Vardenis1503          Pavardenis1503        5         7         10        4         8          
Vardenis1504          Pavardenis1504        8         9         2         3         5          
Vardenis1505          Pavardenis1505        8         10        8         5         4          
Vardenis1506          Pavardenis1506        1         2         8         8         3          
Vardenis1507          Pavardenis1507        3         8         7         9         8          
Vardenis1508          Pavardenis1508        7         6         7         3         2          
Vardenis1509          Pavardenis1509        2         6         2         10        7          
Vardenis1510          Pavardenis1510        7         10        9         8         4          
Vardenis1511          Pavardenis1511        9         3         3         6         7          
Vardenis1512          Pavardenis1512        1         8         1         1         1          
Vardenis1513          Pavardenis1513        3         9         10        1         3          
Vardenis1514          Pavardenis1514        2         7         4         3         2          
Vardenis1515          Pavardenis1515        8         4         3         1         10         
Vardenis1516          Pavardenis1516        1         10        3         10        4          
Vardenis1517          Pavardenis1517        9         5         6         1         9          
Vardenis1518          Pavardenis1518        5         4         2         7         2          
Vardenis1519          Pavardenis1519        6         6         3         8         9          
Vardenis1520          Pavardenis1520        3         7         10        4         8          
Vardenis1521          Pavardenis1521        7         1         6         2         8          
Vardenis1522          Pavardenis1522        1         5         1         1         10         
Vardenis1523          Pavardenis1523        2         9         9         4         8          
Vardenis1524          Pavardenis1524        10        9         7         9         9          
Vardenis1525          Pavardenis1525        1         5         5         10        3          
Vardenis1526          Pavardenis1526        5         10        6         8         7          
Vardenis1527          Pavardenis1527        7         5         6         10        1          
Vardenis1528          Pavardenis1528        2         1         3         6         5          
Vardenis1529          Pavardenis1529        5         7         6         2         8          
Vardenis1530          Pavardenis1530        2         2         1         8         2          
Vardenis1531          Pavardenis1531        3         2         3         1         5          
Vardenis1532          Pavardenis1532        4         8         10        6         7          
Vardenis1533          Pavardenis1533        7         2         5         4         2          
Vardenis1534          Pavardenis1534        3         4         2         1         4          
Vardenis1535          Pavardenis1535        6         4         4         9         8          
Vardenis1536          Pavardenis1536        5         2         2         10        1          
Vardenis1537          Pavardenis1537        7         8         8         8         9          
Vardenis1538          Pavardenis1538        8         5         6         9         4          
Vardenis1539          Pavardenis1539        1         10        8         4         7          
Vardenis1540          Pavardenis1540        8         5         5         8         6          
Vardenis1541          Pavardenis1541        8         1         7         2         6          
Vardenis1542          Pavardenis1542        9         4         5         10        2          
Vardenis1543          Pavardenis1543        3         7         7         1         10         
Vardenis1544          Pavardenis1544        6         3         5         10        1          
Vardenis1545          Pavardenis1545        9         7         1         4         9          
Vardenis1546          Pavardenis1546        7         8         2         5         2          
Vardenis1547          Pavardenis1547        3         10        1         4         9          
Vardenis1548          Pavardenis1548        7         8         6         6         7          
Vardenis1549          Pavardenis1549        6         10        9         6         8          
Vardenis1550          Pavardenis1550        7         6         9         5         10         
Vardenis1551          Pavardenis1551        5         4         5         2         8          
Vardenis1552          Pavardenis1552        9         2         3         8         8          
Vardenis1553          Pavardenis1553        5         5         4         7         4          
Vardenis1554          Pavardenis1554        7         8         9         2         8          
Vardenis1555          Pavardenis1555        8         1         1         4         5          
Vardenis1556          Pavardenis1556        10        8         7         8         4          
Vardenis1557          Pavardenis1557        5         8         7         3         8          
Vardenis1558          Pavardenis1558        4         1         5         6         1          
Vardenis1559          Pavardenis1559        9         6         9         6         3          
Vardenis1560          Pavardenis1560        5         4         4         9         1          
Vardenis1561          Pavardenis1561        8         6         5         3         6          
Vardenis1562          Pavardenis1562        6         8         5         5         10         
Vardenis1563          Pavardenis1563        9         1         1         1         7          
Vardenis1564          Pavardenis1564        10        8         9         4         2          
Vardenis1565          Pavardenis1565        2         2         2         9         4          
Vardenis1566          Pavardenis1566        10        3         3         8         5          
Vardenis1567          Pavardenis1567        6         5         3         9         9          
Vardenis1568          Pavardenis1568        7         6         9         6         6          
Vardenis1569          Pavardenis1569        1         3         7         10        3          
Vardenis1570          Pavardenis1570        6         9         1         10        1          
Vardenis1571          Pavardenis1571        2         5         5         4         2          
Vardenis1572          Pavardenis1572        1         4         4         8         7          
Vardenis1573          Pavardenis1573        1         9         9         5         8          
Vardenis1574          Pavardenis1574        10        1         6         5         1          
Vardenis1575          Pavardenis1575        7         5         3         8         6          
Vardenis1576          Pavardenis1576        2         7         10        10        7          
Vardenis1577          Pavardenis1577        9         10        1         5         2          
Vardenis1578          Pavardenis1578        2         2         3         3         9          
Vardenis1579          Pavardenis1579        6         1         4         6         5          
Vardenis1580          Pavardenis1580        1         6         5         8         1          
Vardenis1581          Pavardenis1581        5         1         5         5         7          
Vardenis1582          Pavardenis1582        1         7         6         4         2          
Vardenis1583          Pavardenis1583        10        5         3         7         7          
Vardenis1584          Pavardenis1584        2         3         4         9         5          
Vardenis1585          Pavardenis1585        7         1         8         8         7          
Vardenis1586          Pavardenis1586        8         10        10        2         8          
Vardenis1587          Pavardenis1587        10        1         7         7         6          
Vardenis1588          Pavardenis1588        1         9         2         1         9          
Vardenis1589          Pavardenis1589        2         4         8         6         4          
Vardenis1590          Pavardenis1590        7         2         3         8         5          
Vardenis1591          Pavardenis1591        6         9         1         2         1          
Vardenis1592          Pavardenis1592        8         1         5         1         8          
Vardenis1593          Pavardenis1593        3         8         4         1         8          
Vardenis1594          Pavardenis1594        9         4         6         5         7          
Vardenis1595          Pavardenis1595        1         1         10        10        4          
Vardenis1596          Pavardenis1596        7         2         10        7         7          
Vardenis1597          Pavardenis1597        6         7         10        8         2          
Vardenis1598          Pavardenis1598        3         6         8         9         10         
Vardenis1599          Pavardenis1599        10        4         1         5         10         
Vardenis1600          Pavardenis1600        2         4         7         5         6          
Vardenis1601          Pavardenis1601        9         2         9         3         4          
Vardenis1602          Pavardenis1602        3         9         5         4         5          
Vardenis1603          Pavardenis1603        5         10        1         8         10         
Vardenis1604          Pavardenis1604        4         5         9         5         9          
Vardenis1605          Pavardenis1605        10        4         10        8         8          
Vardenis1606          Pavardenis1606        4         2         2         4         5          
Vardenis1607          Pavardenis1607        10        3         10        8         3          
Vardenis1608          Pavardenis1608        2         7         5         9         6          
Vardenis1609          Pavardenis1609        4         4         1         5         7          
Vardenis1610          Pavardenis1610        8         10        6         4         2          
Vardenis1611          Pavardenis1611        8         4         9         9         8          
Vardenis1612          Pavardenis1612        3         1         7         6         8          
Vardenis1613          Pavardenis1613        4         10        7         5         7          
Vardenis1614          Pavardenis1614        7         5         10        8         9          
Vardenis1615          Pavardenis1615        6         10        3         3         6          
Vardenis1616          Pavardenis1616        10        3         9         8         3          
Vardenis1617          Pavardenis1617        5         1         9         1         1          
Vardenis1618          Pavardenis1618        1         1         2         1         2          
Vardenis1619          Pavardenis1619        5         5         5         2         9          
Vardenis1620          Pavardenis1620        1         5         1         6         9          
Vardenis1621          Pavardenis1621        5         4         1         10        9          
Vardenis1622          Pavardenis1622        8         10        9         2         8          
Vardenis1623          Pavardenis1623        4         10        10        7         3          
Vardenis1624          Pavardenis1624        1         2         8         8         9          
Vardenis1625          Pavardenis1625        8         3         2         9         5          
Vardenis1626          Pavardenis1626        6         6         3         9         6          
Vardenis1627          Pavardenis1627        5         5         3         10        3          
Vardenis1628          Pavardenis1628        6         9         1         3         8          
Vardenis1629          Pavardenis1629        9         4         5         6         3          
Vardenis1630          Pavardenis1630        5         9         3         10        2          
Vardenis1631          Pavardenis1631        4         7         3         5         4          
Vardenis1632          Pavardenis1632        10        8         10        4         5          
Vardenis1633          Pavardenis1633        9         6         1         1         7          
Vardenis1634          Pavardenis1634        10        2         9         6         5          
Vardenis1635          Pavardenis1635        4         6         7         1         2          
Vardenis1636          Pavardenis1636        2         7         1         7         4          
Vardenis1637          Pavardenis1637        8         7         8         5         7          
Vardenis1638          Pavardenis1638        8         7         9         9         8          
Vardenis1639          Pavardenis1639        3         7         7         3         10         
Vardenis1640          Pavardenis1640        4         1         9         6         6          
Vardenis1641          Pavardenis1641        4         9         6         9         9          
Vardenis1642          Pavardenis1642        3         8         9         4         3          
Vardenis1643          Pavardenis1643        7         7         8         6         9          
Vardenis1644          Pavardenis1644        3         1         10        1         8          
Vardenis1645          Pavardenis1645        9         6         10        2         1          
Vardenis1646          Pavardenis1646        8         7         6         4         6          
Vardenis1647          Pavardenis1647        3         4         5         1         5          
Vardenis1648          Pavardenis1648        1         9         5         7         7          
Vardenis1649          Pavardenis1649        9         3         8         1         7          
Vardenis1650          Pavardenis1650        8         2         9         4         8          
Vardenis1651          Pavardenis1651        7         8         3         1         10         
Vardenis1652          Pavardenis1652        10        10        2         2         1          
Vardenis1653          Pavardenis1653        10        10        2         10        6          
Vardenis1654          Pavardenis1654        9         7         10        8         5          
Vardenis1655          Pavardenis1655        8         9         9         7         2          
Vardenis1656          Pavardenis1656        6         4         3         6         6          
Vardenis1657          Pavardenis1657        2         5         4         3         3          
Vardenis1658          Pavardenis1658        4         4         7         5         4          
Vardenis1659          Pavardenis1659        5         9         9         5         8          
Vardenis1660          Pavardenis1660        5         8         9         5         7          
Vardenis1661          Pavardenis1661        7         5         10        6         10         
Vardenis1662          Pavardenis1662        5         4         4         2         9          
Vardenis1663          Pavardenis1663        6         7         8         5         10         
Vardenis1664          Pavardenis1664        3         8         2         3         6          
Vardenis1665          Pavardenis1665        3         8         8         2         2          
Vardenis1666          Pavardenis1666        2         3         7         10        7          
Vardenis1667          Pavardenis1667        2         7         4         1         7          
Vardenis1668          Pavardenis1668        5         3         4         4         4          
Vardenis1669          Pavardenis1669        5         3         2         4         1          
Vardenis1670          Pavardenis1670        8         2         3         4         9          
Vardenis1671          Pavardenis1671        5         9         9         9         6          
Vardenis1672          Pavardenis1672        5         7         9         4         2          
Vardenis1673          Pavardenis1673        9         4         7         2         7          
Vardenis1674          Pavardenis1674        9         6         10        1         1          
Vardenis1675          Pavardenis1675        1         8         7         6         10         
Vardenis1676          Pavardenis1676        1         1         7         8         1          
Vardenis1677          Pavardenis1677        9         2         4         6         4          
Vardenis1678          Pavardenis1678        5         3         2         7         7          
Vardenis1679          Pavardenis1679        10        8         5         6         10         
Vardenis1680          Pavardenis1680        6         7         3         7         7          
Vardenis1681          Pavardenis1681        2         9         7         4         1          
Vardenis1682          Pavardenis1682        8         7         9         7         4          
Vardenis1683          Pavardenis1683        4         1         7         7         8          
Vardenis1684          Pavardenis1684        10        3         8         1         3          
Vardenis1685          Pavardenis1685        4         7         2         9         10         
Vardenis1686          Pavardenis1686        10        3         2         10        10         
Vardenis1687          Pavardenis1687        3         10        7         1         5          
Vardenis1688          Pavardenis1688        1         1         10        2         8          
Vardenis1689          Pavardenis1689        1         6         9         9         1          
Vardenis1690          Pavardenis1690        8         8         1         2         7          
Vardenis1691          Pavardenis1691        1         10        10        3         5          
