Vardas                Pavarde               ND1       ND2       ND3       ND4        Egzaminas
Vardenis43            Pavardenis43          5         5         10        9         9          
Vardenis44            Pavardenis44          7         9         7         1         8          
Vardenis45            Pavardenis45          10        8         10        3         3          
Vardenis46            Pavardenis46          1         1         7         9         8          
Vardenis47            Pavardenis47          3         1         6         7         6          
Vardenis48            Pavardenis48          6         10        1         1         5          
Vardenis49            Pavardenis49          2         7         8         6         8          
Vardenis50            Pavardenis50          7         5         10        2         4          
Vardenis51            Pavardenis51          9         4         9         7         3          
Vardenis52            Pavardenis52          2         6         3         2         1          
Vardenis53            Pavardenis53          4         3         6         7         3          
Vardenis54            Pavardenis54          8         6         7         2         6          
Vardenis55            Pavardenis55          6         4         6         7         7          
Vardenis56            Pavardenis56          9         9         7         4         2          
Vardenis57            Pavardenis57          3         8         6         2         6          
Vardenis58            Pavardenis58          2         4         9         9         3          
Vardenis59            Pavardenis59          6         5         10        2         2          
Vardenis60            Pavardenis60          9         10        1         8         6          
Vardenis61            Pavardenis61          10        1         5         4         7          
Vardenis62            Pavardenis62          5         9         3         6         4          
Vardenis63            Pavardenis63          9         10        9         2         5          
Vardenis64            Pavardenis64          1         5         6         1         6          
Vardenis65            Pavardenis65          1         7         7         6         5          
Vardenis66            Pavardenis66          2         9         8         3         4          
Vardenis67            Pavardenis67          10        1         6         4         7          
Vardenis68            Pavardenis68          3         8         9         5         5          
Vardenis69            Pavardenis69          6         10        7         9         2          
Vardenis70            Pavardenis70          8         4         8         3         4          
Vardenis71            Pavardenis71          9         10        2         5         8          
Vardenis72            Pavardenis72          5         2         5         10        3          
Vardenis73            Pavardenis73          10        4         3         7         8          
Vardenis74            Pavardenis74          10        1         2         10        5          
Vardenis75            Pavardenis75          3         6         1         7         2          
Vardenis76            Pavardenis76          10        1         8         6         7          
Vardenis77            Pavardenis77          2         6         10        5         4          
Vardenis78            Pavardenis78          5         1         2         6         8          
Vardenis79            Pavardenis79          9         10        8         8         8          
Vardenis80            Pavardenis80          1         1         2         3         7          
Vardenis81            Pavardenis81          1         10        2         9         10         
Vardenis82            Pavardenis82          10        10        10        4         6          
Vardenis83            Pavardenis83          8         5         7         6         6          
Vardenis84            Pavardenis84          4         2         10        8         2          
Vardenis85            Pavardenis85          6         4         10        4         3          
Vardenis86            Pavardenis86          8         6         7         1         3          
Vardenis87            Pavardenis87          9         7         10        7         2          
Vardenis88            Pavardenis88          3         7         4         5         2          
Vardenis89            Pavardenis89          6         8         5         5         9          
Vardenis90            Pavardenis90          6         7         8         2         8          
Vardenis91            Pavardenis91          1         4         7         1         5          
Vardenis92            Pavardenis92          3         7         5         6         2          
Vardenis93            Pavardenis93          1         5         6         3         3          
Vardenis94            Pavardenis94          3         10        2         9         4          
Vardenis95            Pavardenis95          7         4         6         4         6          
Vardenis96            Pavardenis96          7         2         4         6         9          
Vardenis97            Pavardenis97          6         5         4         6         8          
Vardenis98            Pavardenis98          6         7         6         2         1          
Vardenis99            Pavardenis99          7         7         7         4         8          
Vardenis100           Pavardenis100         5         7         9         9         8          
Vardenis101           Pavardenis101         4         4         10        2         10         
Vardenis102           Pavardenis102         6         3         1         3         6          
Vardenis103           Pavardenis103         5         7         6         3         1          
Vardenis104           Pavardenis104         1         2         2         1         8          
Vardenis105           Pavardenis105         10        1         8         8         9          
Vardenis106           Pavardenis106         6         10        3         5         1          
Vardenis107           Pavardenis107         8         9         3         1         10         
Vardenis108           Pavardenis108         4         10        6         3         1          
Vardenis109           Pavardenis109         3         1         10        5         3          
Vardenis110           Pavardenis110         5         5         1         8         7          
Vardenis111           Pavardenis111         8         6         3         5         2          
Vardenis112           Pavardenis112         1         5         5         3         6          
Vardenis113           Pavardenis113         10        2         6         2         7          
Vardenis114           Pavardenis114         5         1         8         4         10         
Vardenis115           Pavardenis115         9         3         4         6         1          
Vardenis116           Pavardenis116         8         2         7         2         1          
Vardenis117           Pavardenis117         3         2         1         2         2          
Vardenis118           Pavardenis118         2         6         2         7         6          
Vardenis119           Pavardenis119         4         5         1         8         3          
Vardenis120           Pavardenis120         10        2         6         8         3          
Vardenis121           Pavardenis121         8         3         9         10        1          
Vardenis122           Pavardenis122         9         3         8         1         2          
Vardenis123           Pavardenis123         8         10        10        5         4          
Vardenis124           Pavardenis124         8         9         10        10        8          
Vardenis125           Pavardenis125         7         4         2         7         1          
Vardenis126           Pavardenis126         5         6         5         1         7          
Vardenis127           Pavardenis127         5         3         4         3         4          
Vardenis128           Pavardenis128         5         7         1         10        6          
Vardenis129           Pavardenis129         3         4         9         9         10         
Vardenis130           Pavardenis130         5         4         9         6         7          
Vardenis131           Pavardenis131         6         6         8         5         4          
Vardenis132           Pavardenis132         3         7         9         4         5          
Vardenis133           Pavardenis133         5         3         3         5         10         
Vardenis134           Pavardenis134         8         7         4         5         4          
Vardenis135           Pavardenis135         7         6         10        4         7          
Vardenis136           Pavardenis136         5         2         10        2         3          
Vardenis137           Pavardenis137         10        8         8         5         4          
Vardenis138           Pavardenis138         4         8         1         1         7          
Vardenis139           Pavardenis139         3         2         1         5         8          
Vardenis140           Pavardenis140         6         7         6         6         3          
Vardenis141           Pavardenis141         2         2         2         1         4          
Vardenis142           Pavardenis142         4         3         8         9         8          
Vardenis143           Pavardenis143         9         1         7         3         4          
Vardenis144           Pavardenis144         6         6         4         10        2          
Vardenis145           Pavardenis145         6         4         3         2         7          
Vardenis146           Pavardenis146         5         6         2         3         10         
Vardenis147           Pavardenis147         3         7         6         2         4          
Vardenis148           Pavardenis148         10        4         8         7         1          
Vardenis149           Pavardenis149         6         4         4         8         3          
Vardenis150           Pavardenis150         5         1         6         9         4          
Vardenis151           Pavardenis151         7         2         1         1         4          
Vardenis152           Pavardenis152         6         10        6         7         6          
Vardenis153           Pavardenis153         7         1         1         8         6          
Vardenis154           Pavardenis154         10        7         9         3         2          
Vardenis155           Pavardenis155         9         5         3         3         1          
Vardenis156           Pavardenis156         4         5         7         8         6          
Vardenis157           Pavardenis157         6         9         3         2         6          
Vardenis158           Pavardenis158         1         6         6         10        5          
Vardenis159           Pavardenis159         1         5         6         6         7          
Vardenis160           Pavardenis160         6         7         3         6         5          
Vardenis161           Pavardenis161         5         4         3         6         3          
Vardenis162           Pavardenis162         5         1         3         7         1          
Vardenis163           Pavardenis163         8         4         10        4         7          
Vardenis164           Pavardenis164         1         8         8         3         10         
Vardenis165           Pavardenis165         4         9         3         2         10         
Vardenis166           Pavardenis166         2         8         10        4         1          
Vardenis167           Pavardenis167         6         1         1         4         3          
Vardenis168           Pavardenis168         5         8         4         8         1          
Vardenis169           Pavardenis169         8         5         7         10        2          
Vardenis170           Pavardenis170         9         3         1         1         8          
Vardenis171           Pavardenis171         3         1         2         8         7          
Vardenis172           Pavardenis172         8         5         1         8         7          
Vardenis173           Pavardenis173         5         9         5         4         1          
Vardenis174           Pavardenis174         3         6         4         1         7          
Vardenis175           Pavardenis175         1         3         7         9         8          
Vardenis176           Pavardenis176         3         8         3         9         4          
Vardenis177           Pavardenis177         8         8         9         9         10         
Vardenis178           Pavardenis178         8         3         3         6         1          
Vardenis179           Pavardenis179         10        4         2         4         7          
Vardenis180           Pavardenis180         6         10        9         6         2          
Vardenis181           Pavardenis181         3         6         6         9         8          
Vardenis182           Pavardenis182         6         3         8         4         1          
Vardenis183           Pavardenis183         1         9         2         6         9          
Vardenis184           Pavardenis184         8         3         6         8         9          
Vardenis185           Pavardenis185         1         8         5         7         8          
Vardenis186           Pavardenis186         2         8         10        1         4          
Vardenis187           Pavardenis187         2         6         2         10        7          
Vardenis188           Pavardenis188         8         2         3         5         1          
Vardenis189           Pavardenis189         10        7         1         7         7          
Vardenis190           Pavardenis190         8         6         5         6         10         
Vardenis191           Pavardenis191         6         1         6         4         9          
Vardenis192           Pavardenis192         7         6         6         8         10         
Vardenis193           Pavardenis193         2         10        9         8         2          
Vardenis194           Pavardenis194         4         7         6         7         5          
Vardenis195           Pavardenis195         4         7         7         10        4          
Vardenis196           Pavardenis196         6         5         1         8         10         
Vardenis197           Pavardenis197         8         7         6         5         9          
Vardenis198           Pavardenis198         3         4         6         2         2          
Vardenis199           Pavardenis199         5         4         6         6         3          
Vardenis200           Pavardenis200         7         6         1         4         1          
Vardenis201           Pavardenis201         4         5         10        6         9          
Vardenis202           Pavardenis202         4         5         6         1         7          
Vardenis203           Pavardenis203         8         10        8         2         3          
Vardenis204           Pavardenis204         7         10        6         1         6          
Vardenis205           Pavardenis205         6         7         7         4         3          
Vardenis206           Pavardenis206         5         5         8         10        4          
Vardenis207           Pavardenis207         8         4         6         4         10         
Vardenis208           Pavardenis208         2         7         4         3         6          
Vardenis209           Pavardenis209         1         8         1         5         1          
Vardenis210           Pavardenis210         8         2         6         1         10         
Vardenis211           Pavardenis211         8         3         10        1         2          
Vardenis212           Pavardenis212         4         8         3         3         9          
Vardenis213           Pavardenis213         9         7         8         3         9          
Vardenis214           Pavardenis214         2         8         7         10        1          
Vardenis215           Pavardenis215         3         4         10        5         5          
Vardenis216           Pavardenis216         4         2         8         1         4          
Vardenis217           Pavardenis217         7         4         4         2         2          
Vardenis218           Pavardenis218         3         8         8         3         2          
Vardenis219           Pavardenis219         6         8         5         10        10         
Vardenis220           Pavardenis220         5         5         3         2         6          
Vardenis221           Pavardenis221         5         10        10        3         10         
Vardenis222           Pavardenis222         5         9         3         8         10         
Vardenis223           Pavardenis223         5         7         7         2         7          
Vardenis224           Pavardenis224         8         3         3         7         9          
Vardenis225           Pavardenis225         10        1         9         8         2          
Vardenis226           Pavardenis226         10        2         7         8         3          
Vardenis227           Pavardenis227         3         7         10        8         2          
Vardenis228           Pavardenis228         1         1         5         1         1          
Vardenis229           Pavardenis229         10        8         9         5         6          
Vardenis230           Pavardenis230         1         4         8         1         1          
Vardenis231           Pavardenis231         7         6         9         1         5          
Vardenis232           Pavardenis232         3         1         3         6         2          
Vardenis233           Pavardenis233         1         6         10        8         8          
Vardenis234           Pavardenis234         8         10        1         10        8          
Vardenis235           Pavardenis235         9         1         4         7         6          
Vardenis236           Pavardenis236         2         4         2         6         1          
Vardenis237           Pavardenis237         7         1         8         9         9          
Vardenis238           Pavardenis238         8         5         3         4         3          
Vardenis239           Pavardenis239         10        5         7         5         1          
Vardenis240           Pavardenis240         7         10        7         6         2          
Vardenis241           Pavardenis241         8         9         6         8         7          
Vardenis242           Pavardenis242         2         2         6         5         1          
Vardenis243           Pavardenis243         7         8         8         2         6          
Vardenis244           Pavardenis244         2         2         3         8         5          
Vardenis245           Pavardenis245         10        6         6         9         3          
Vardenis246           Pavardenis246         10        5         8         3         5          
Vardenis247           Pavardenis247         3         9         8         2         9          
Vardenis248           Pavardenis248         10        8         1         5         6          
Vardenis249           Pavardenis249         7         7         10        3         2          
Vardenis250           Pavardenis250         8         4         6         1         2          
Vardenis251           Pavardenis251         1         8         10        6         5          
Vardenis252           Pavardenis252         6         9         3         9         10         
Vardenis253           Pavardenis253         5         5         6         5         6          
Vardenis254           Pavardenis254         8         4         6         9         10         
Vardenis255           Pavardenis255         10        3         6         5         5          
Vardenis256           Pavardenis256         8         3         4         5         10         
Vardenis257           Pavardenis257         1         10        6         5         7          
Vardenis258           Pavardenis258         9         6         9         2         5          
Vardenis259           Pavardenis259         9         10        8         9         7          
Vardenis260           Pavardenis260         2         10        1         10        2          
Vardenis261           Pavardenis261         5         10        1         4         5          
Vardenis262           Pavardenis262         7         6         5         6         6          
Vardenis263           Pavardenis263         6         10        10        10        2          
Vardenis264           Pavardenis264         2         4         5         8         7          
Vardenis265           Pavardenis265         7         1         3         10        7          
Vardenis266           Pavardenis266         6         8         7         10        7          
Vardenis267           Pavardenis267         1         7         7         9         6          
Vardenis268           Pavardenis268         6         10        7         5         6          
Vardenis269           Pavardenis269         4         9         6         10        5          
Vardenis270           Pavardenis270         5         10        7         1         5          
Vardenis271           Pavardenis271         3         6         7         10        3          
Vardenis272           Pavardenis272         5         3         10        7         8          
Vardenis273           Pavardenis273         10        4         6         1         1          
Vardenis274           Pavardenis274         3         5         10        8         7          
Vardenis275           Pavardenis275         5         8         5         5         7          
Vardenis276           Pavardenis276         2         5         4         10        10         
Vardenis277           Pavardenis277         2         5         10        6         3          
Vardenis278           Pavardenis278         9         10        8         9         1          
Vardenis279           Pavardenis279         6         1         2         4         6          
Vardenis280           Pavardenis280         7         3         4         4         1          
Vardenis281           Pavardenis281         10        6         4         1         8          
Vardenis282           Pavardenis282         8         6         2         7         7          
Vardenis283           Pavardenis283         2         10        1         8         4          
Vardenis284           Pavardenis284         8         6         9         7         6          
Vardenis285           Pavardenis285         2         6         9         8         3          
Vardenis286           Pavardenis286         3         4         7         7         3          
Vardenis287           Pavardenis287         7         6         8         6         8          
Vardenis288           Pavardenis288         8         3         6         8         9          
Vardenis289           Pavardenis289         5         7         2         10        2          
Vardenis290           Pavardenis290         8         5         8         6         5          
Vardenis291           Pavardenis291         2         2         1         5         5          
Vardenis292           Pavardenis292         8         9         9         6         1          
Vardenis293           Pavardenis293         3         8         10        10        6          
Vardenis294           Pavardenis294         8         9         8         5         5          
Vardenis295           Pavardenis295         1         4         6         1         5          
Vardenis296           Pavardenis296         9         1         1         4         6          
Vardenis297           Pavardenis297         10        3         9         9         7          
Vardenis298           Pavardenis298         2         10        6         3         9          
Vardenis299           Pavardenis299         10        5         8         10        1          
Vardenis300           Pavardenis300         7         4         1         8         9          
Vardenis301           Pavardenis301         9         6         9         8         9          
Vardenis302           Pavardenis302         7         9         10        7         7          
Vardenis303           Pavardenis303         3         8         8         2         3          
Vardenis304           Pavardenis304         7         10        5         10        1          
Vardenis305           Pavardenis305         2         3         6         5         5          
Vardenis306           Pavardenis306         2         10        6         8         1          
Vardenis307           Pavardenis307         7         4         2         5         8          
Vardenis308           Pavardenis308         4         3         10        8         8          
Vardenis309           Pavardenis309         5         4         2         1         10         
Vardenis310           Pavardenis310         8         1         2         3         4          
Vardenis311           Pavardenis311         6         4         4         7         2          
Vardenis312           Pavardenis312         7         7         3         6         3          
Vardenis313           Pavardenis313         8         8         7         5         7          
Vardenis314           Pavardenis314         9         5         4         5         8          
Vardenis315           Pavardenis315         9         5         4         7         7          
Vardenis316           Pavardenis316         4         3         2         1         3          
Vardenis317           Pavardenis317         7         8         9         9         4          
Vardenis318           Pavardenis318         5         8         1         4         10         
Vardenis319           Pavardenis319         2         9         10        7         1          
Vardenis320           Pavardenis320         1         6         10        1         3          
Vardenis321           Pavardenis321         3         4         1         1         6          
Vardenis322           Pavardenis322         8         10        2         2         7          
Vardenis323           Pavardenis323         5         2         8         9         3          
Vardenis324           Pavardenis324         10        9         1         1         7          
Vardenis325           Pavardenis325         3         1         5         5         1          
Vardenis326           Pavardenis326         7         2         9         3         2          
Vardenis327           Pavardenis327         6         5         4         3         6          
Vardenis328           Pavardenis328         7         5         2         1         7          
Vardenis329           Pavardenis329         9         5         1         1         5          
Vardenis330           Pavardenis330         9         10        10        4         1          
Vardenis331           Pavardenis331         2         3         1         9         9          
Vardenis332           Pavardenis332         4         7         4         4         5          
Vardenis333           Pavardenis333         1         10        6         3         8          
Vardenis334           Pavardenis334         4         6         10        8         8          
Vardenis335           Pavardenis335         5         5         6         10        9          
Vardenis336           Pavardenis336         4         8         6         1         7          
Vardenis337           Pavardenis337         5         1         4         10        9          
Vardenis338           Pavardenis338         5         3         2         5         3          
Vardenis339           Pavardenis339         2         6         4         7         6          
Vardenis340           Pavardenis340         10        2         7         5         8          
Vardenis341           Pavardenis341         5         3         8         9         7          
Vardenis342           Pavardenis342         1         6         4         6         9          
Vardenis343           Pavardenis343         6         6         8         8         9          
Vardenis344           Pavardenis344         2         1         10        3         10         
Vardenis345           Pavardenis345         4         4         4         6         10         
Vardenis346           Pavardenis346         9         9         7         10        10         
Vardenis347           Pavardenis347         10        2         7         9         6          
Vardenis348           Pavardenis348         5         3         1         9         8          
Vardenis349           Pavardenis349         10        6         8         6         6          
Vardenis350           Pavardenis350         8         2         10        7         3          
Vardenis351           Pavardenis351         8         4         4         8         7          
Vardenis352           Pavardenis352         4         3         10        1         4          
Vardenis353           Pavardenis353         2         2         8         9         7          
Vardenis354           Pavardenis354         8         8         7         2         8          
Vardenis355           Pavardenis355         3         2         7         4         1          
Vardenis356           Pavardenis356         5         2         2         4         8          
Vardenis357           Pavardenis357         6         10        8         7         7          
Vardenis358           Pavardenis358         10        1         6         2         8          
Vardenis359           Pavardenis359         5         9         4         3         8          
Vardenis360           Pavardenis360         2         3         5         6         2          
Vardenis361           Pavardenis361         1         1         8         4         5          
Vardenis362           Pavardenis362         7         4         7         6         10         
Vardenis363           Pavardenis363         6         7         3         2         2          
Vardenis364           Pavardenis364         2         5         3         1         2          
Vardenis365           Pavardenis365         10        5         9         1         7          
Vardenis366           Pavardenis366         9         10        10        1         10         
Vardenis367           Pavardenis367         5         7         5         10        4          
Vardenis368           Pavardenis368         5         9         8         1         7          
Vardenis369           Pavardenis369         1         8         7         2         10         
Vardenis370           Pavardenis370         6         4         3         10        4          
Vardenis371           Pavardenis371         2         9         9         6         4          
Vardenis372           Pavardenis372         1         5         3         9         1          
Vardenis373           Pavardenis373         1         1         10        3         3          
Vardenis374           Pavardenis374         6         7         2         6         6          
Vardenis375           Pavardenis375         6         6         2         5         6          
Vardenis376           Pavardenis376         5         7         10        3         7          
Vardenis377           Pavardenis377         1         2         2         8         9          
Vardenis378           Pavardenis378         1         7         6         7         4          
Vardenis379           Pavardenis379         10        5         7         2         2          
Vardenis380           Pavardenis380         7         2         3         6         2          
Vardenis381           Pavardenis381         10        1         5         4         1          
Vardenis382           Pavardenis382         3         7         4         4         4          
Vardenis383           Pavardenis383         5         7         3         8         5          
Vardenis384           Pavardenis384         3         3         9         5         8          
Vardenis385           Pavardenis385         3         2         2         4         10         
Vardenis386           Pavardenis386         3         2         6         9         8          
Vardenis387           Pavardenis387         10        3         4         2         9          
Vardenis388           Pavardenis388         10        3         5         2         10         
Vardenis389           Pavardenis389         2         6         9         2         9          
Vardenis390           Pavardenis390         3         1         3         9         9          
Vardenis391           Pavardenis391         4         6         10        7         7          
Vardenis392           Pavardenis392         1         1         7         10        7          
Vardenis393           Pavardenis393         7         3         2         4         6          
Vardenis394           Pavardenis394         7         10        10        9         6          
Vardenis395           Pavardenis395         3         5         9         1         5          
Vardenis396           Pavardenis396         3         5         9         7         5          
Vardenis397           Pavardenis397         4         7         10        3         2          
Vardenis398           Pavardenis398         10        3         7         3         10         
Vardenis399           Pavardenis399         6         6         1         6         2          
Vardenis400           Pavardenis400         4         4         8         9         3          
Vardenis401           Pavardenis401         5         2         3         5         4          
Vardenis402           Pavardenis402         5         8         5         4         6          
Vardenis403           Pavardenis403         7         9         10        7         5          
Vardenis404           Pavardenis404         2         1         9         10        5          
Vardenis405           Pavardenis405         9         1         3         6         9          
Vardenis406           Pavardenis406         6         5         3         3         1          
Vardenis407           Pavardenis407         9         10        3         9         3          
Vardenis408           Pavardenis408         8         4         3         4         1          
Vardenis409           Pavardenis409         4         8         6         7         7          
Vardenis410           Pavardenis410         1         9         2         10        6          
Vardenis411           Pavardenis411         7         5         9         4         7          
Vardenis412           Pavardenis412         2         7         9         3         6          
Vardenis413           Pavardenis413         5         4         2         10        1          
Vardenis414           Pavardenis414         3         5         9         9         6          
Vardenis415           Pavardenis415         10        10        4         3         1          
Vardenis416           Pavardenis416         8         5         4         6         9          
Vardenis417           Pavardenis417         9         5         2         8         4          
Vardenis418           Pavardenis418         2         1         7         5         6          
Vardenis419           Pavardenis419         10        4         5         1         9          
Vardenis420           Pavardenis420         6         7         10        7         6          
Vardenis421           Pavardenis421         4         10        3         6         5          
Vardenis422           Pavardenis422         7         10        4         1         5          
Vardenis423           Pavardenis423         6         4         3         8         4          
Vardenis424           Pavardenis424         2         2         9         10        3          
Vardenis425           Pavardenis425         1         8         4         3         10         
Vardenis426           Pavardenis426         2         6         1         10        9          
Vardenis427           Pavardenis427         3         6         6         4         7          
Vardenis428           Pavardenis428         5         10        8         7         3          
Vardenis429           Pavardenis429         6         4         1         1         6          
Vardenis430           Pavardenis430         3         6         5         7         4          
Vardenis431           Pavardenis431         8         3         3         2         9          
Vardenis432           Pavardenis432         1         8         1         1         9          
Vardenis433           Pavardenis433         9         2         4         3         3          
Vardenis434           Pavardenis434         2         9         6         4         1          
Vardenis435           Pavardenis435         10        2         5         9         8          
Vardenis436           Pavardenis436         2         4         5         5         7          
Vardenis437           Pavardenis437         8         1         3         2         10         
Vardenis438           Pavardenis438         7         1         10        2         10         
Vardenis439           Pavardenis439         9         7         1         5         10         
Vardenis440           Pavardenis440         3         1         6         9         2          
Vardenis441           Pavardenis441         8         4         2         7         1          
Vardenis442           Pavardenis442         3         4         2         6         3          
Vardenis443           Pavardenis443         7         9         1         3         9          
Vardenis444           Pavardenis444         10        7         9         9         9          
Vardenis445           Pavardenis445         3         3         1         1         10         
Vardenis446           Pavardenis446         7         4         4         4         4          
Vardenis447           Pavardenis447         4         2         1         10        5          
Vardenis448           Pavardenis448         3         6         9         7         5          
Vardenis449           Pavardenis449         3         6         5         4         7          
Vardenis450           Pavardenis450         3         10        5         6         8          
Vardenis451           Pavardenis451         2         4         2         10        3          
Vardenis452           Pavardenis452         8         4         4         8         7          
Vardenis453           Pavardenis453         5         6         10        1         2          
Vardenis454           Pavardenis454         7         4         2         9         7          
Vardenis455           Pavardenis455         1         5         8         7         3          
Vardenis456           Pavardenis456         4         1         3         4         7          
Vardenis457           Pavardenis457         9         3         1         7         1          
Vardenis458           Pavardenis458         3         5         3         10        6          
Vardenis459           Pavardenis459         6         10        1         1         1          
Vardenis460           Pavardenis460         2         8         6         3         9          
Vardenis461           Pavardenis461         2         3         5         4         3          
Vardenis462           Pavardenis462         4         10        9         2         5          
Vardenis463           Pavardenis463         5         1         7         1         5          
Vardenis464           Pavardenis464         8         8         7         6         5          
Vardenis465           Pavardenis465         7         8         5         3         4          
Vardenis466           Pavardenis466         1         9         5         4         10         
Vardenis467           Pavardenis467         4         7         6         2         7          
Vardenis468           Pavardenis468         4         5         5         5         2          
Vardenis469           Pavardenis469         1         4         2         5         6          
Vardenis470           Pavardenis470         7         7         1         8         1          
Vardenis471           Pavardenis471         7         6         6         10        3          
Vardenis472           Pavardenis472         7         2         9         8         7          
Vardenis473           Pavardenis473         8         6         4         1         5          
Vardenis474           Pavardenis474         10        8         8         5         10         
Vardenis475           Pavardenis475         6         5         2         5         6          
Vardenis476           Pavardenis476         5         7         10        4         2          
Vardenis477           Pavardenis477         7         3         5         1         4          
Vardenis478           Pavardenis478         3         3         10        8         7          
Vardenis479           Pavardenis479         8         7         5         6         7          
Vardenis480           Pavardenis480         4         10        3         7         1          
Vardenis481           Pavardenis481         1         2         9         10        7          
Vardenis482           Pavardenis482         9         2         2         7         2          
Vardenis483           Pavardenis483         8         8         8         1         5          
Vardenis484           Pavardenis484         6         3         1         6         6          
Vardenis485           Pavardenis485         3         2         3         3         4          
Vardenis486           Pavardenis486         10        8         4         3         5          
Vardenis487           Pavardenis487         10        4         7         6         5          
Vardenis488           Pavardenis488         8         7         1         3         1          
Vardenis489           Pavardenis489         6         3         7         1         4          
Vardenis490           Pavardenis490         1         5         1         1         6          
Vardenis491           Pavardenis491         4         2         1         9         4          
Vardenis492           Pavardenis492         4         7         9         4         9          
Vardenis493           Pavardenis493         2         7         6         6         7          
Vardenis494           Pavardenis494         4         9         5         2         7          
Vardenis495           Pavardenis495         3         5         2         1         6          
Vardenis496           Pavardenis496         8         10        3         1         1          
Vardenis497           Pavardenis497         1         2         8         6         3          
Vardenis498           Pavardenis498         10        10        5         4         2          
Vardenis499           Pavardenis499         2         1         1         10        4          
Vardenis500           Pavardenis500         10        9         3         4         5          
Vardenis501           Pavardenis501         5         4         4         9         10         
Vardenis502           Pavardenis502         1         6         4         7         7          
Vardenis503           Pavardenis503         8         8         10        9         6          
Vardenis504           Pavardenis504         4         6         8         3         4          
Vardenis505           Pavardenis505         8         1         4         7         1          
Vardenis506           Pavardenis506         2         6         6         10        10         
Vardenis507           Pavardenis507         9         7         8         1         6          
Vardenis508           Pavardenis508         4         10        8         7         4          
Vardenis509           Pavardenis509         1         5         6         5         6          
Vardenis510           Pavardenis510         2         10        3         1         2          
Vardenis511           Pavardenis511         8         10        6         5         2          
Vardenis512           Pavardenis512         2         7         5         8         1          
Vardenis513           Pavardenis513         8         5         3         6         6          
Vardenis514           Pavardenis514         6         5         6         6         10         
Vardenis515           Pavardenis515         10        2         1         5         4          
Vardenis516           Pavardenis516         6         8         10        9         4          
Vardenis517           Pavardenis517         9         7         2         1         6          
Vardenis518           Pavardenis518         10        5         9         5         5          
Vardenis519           Pavardenis519         2         4         5         9         4          
Vardenis520           Pavardenis520         9         5         8         1         3          
Vardenis521           Pavardenis521         3         9         6         6         6          
Vardenis522           Pavardenis522         6         10        1         8         9          
Vardenis523           Pavardenis523         10        2         7         2         7          
Vardenis524           Pavardenis524         8         3         3         10        1          
Vardenis525           Pavardenis525         8         8         3         3         8          
Vardenis526           Pavardenis526         7         4         2         2         7          
Vardenis527           Pavardenis527         2         7         3         8         2          
Vardenis528           Pavardenis528         1         1         4         3         2          
Vardenis529           Pavardenis529         5         9         10        4         10         
Vardenis530           Pavardenis530         2         9         5         10        4          
Vardenis531           Pavardenis531         8         3         8         5         2          
Vardenis532           Pavardenis532         10        3         2         8         5          
Vardenis533           Pavardenis533         4         1         3         3         1          
Vardenis534           Pavardenis534         2         4         10        1         10         
Vardenis535           Pavardenis535         5         9         6         8         5          
